"Date","Revenue"
2025-01-01,49759.76
2025-01-02,49685.03
2025-01-03,50499.23
2025-01-04,50575.23
2025-01-05,50681.08
2025-01-06,51590.84
2025-01-07,51869.9
2025-01-08,51255.21
2025-01-09,50944.17
2025-01-10,50757.88
2025-01-11,51419.81
2025-01-12,51645.96
2025-01-13,51894.26
2025-01-14,51993.21
2025-01-15,51745.81
2025-01-16,52711.86
2025-01-17,53016.45
2025-01-18,52016.24
2025-01-19,52422.67
2025-01-20,52216.76
2025-01-21,51700.95
2025-01-22,51629.61
2025-01-23,51141.19
2025-01-24,50809.34
2025-01-25,50532.41
2025-01-26,49720.51
2025-01-27,50176.84
2025-01-28,50293.94
2025-01-29,49761.76
2025-01-30,50425.49
2025-01-31,50680.88
2025-02-01,50571.88
2025-02-02,51065.02
2025-02-03,51554.29
2025-02-04,52019.09
2025-02-05,52418.93
2025-02-06,52751.22
2025-02-07,52760.76
2025-02-08,52641.55
2025-02-09,52483.37
2025-02-10,52160.75
2025-02-11,52094.03
2025-02-12,51476.51
2025-02-13,52634.19
2025-02-14,53312.1
2025-02-15,52756
2025-02-16,52585.66
2025-02-17,52382.33
2025-02-18,52832.8
2025-02-19,52831.02
2025-02-20,53007.12
2025-02-21,53034.39
2025-02-22,53054.08
2025-02-23,53822.63
2025-02-24,53744.17
2025-02-25,54602.18
2025-02-26,53800.21
2025-02-27,54157.77
2025-02-28,54268.17
2025-03-01,54428.78
2025-03-02,54678.95
2025-03-03,54448.03
2025-03-04,54310.16
2025-03-05,53800.42
2025-03-06,53266.83
2025-03-07,53471.13
2025-03-08,53753.57
2025-03-09,53825.06
2025-03-10,54364.53
2025-03-11,55522.54
2025-03-12,55294.33
2025-03-13,54061.72
2025-03-14,54648.69
2025-03-15,54304.84
2025-03-16,53974.67
2025-03-17,54571.39
2025-03-18,54459.65
2025-03-19,53838.42
2025-03-20,53979.1
2025-03-21,53947.31
2025-03-22,53993.58
2025-03-23,54244.8
2025-03-24,54087.13
2025-03-25,54478.92
2025-03-26,54402.39
2025-03-27,54626.41
2025-03-28,55269.27
2025-03-29,55554.01
2025-03-30,55417.38
2025-03-31,56098.36
2025-04-01,56700.58
2025-04-02,57056.88
2025-04-03,57238.74
2025-04-04,56925.12
2025-04-05,57745.22
2025-04-06,57444.79
2025-04-07,58747.26
2025-04-08,59694.62
2025-04-09,59601.68
2025-04-10,59037.59
2025-04-11,58665.42
2025-04-12,58863.05
2025-04-13,58764.93
2025-04-14,58607.71
2025-04-15,58096.87
2025-04-16,58117.19
2025-04-17,57707.52
2025-04-18,56791.16
2025-04-19,56620.66
2025-04-20,57186.3
2025-04-21,56903.03
2025-04-22,57294.5
2025-04-23,56413.38
2025-04-24,56427.16
2025-04-25,56765.39
2025-04-26,56981.75
2025-04-27,57087.56
2025-04-28,56767.46
2025-04-29,56330.52
2025-04-30,55798.69
2025-05-01,55908.97
2025-05-02,55423.98
2025-05-03,55196.43
2025-05-04,55099.23
2025-05-05,56159.27
2025-05-06,55838.06
2025-05-07,56014.17
2025-05-08,56102.65
2025-05-09,55607.9
2025-05-10,55612.74
2025-05-11,56460.58
2025-05-12,56760.67
2025-05-13,56829.48
2025-05-14,56634.85
2025-05-15,55517.3
2025-05-16,56189.8
2025-05-17,55414.02
2025-05-18,55868.39
2025-05-19,56979.67
2025-05-20,56202.53
2025-05-21,56641.91
2025-05-22,56538.71
2025-05-23,55695.07
2025-05-24,54896.03
2025-05-25,54060.77
2025-05-26,53817
2025-05-27,53073.38
2025-05-28,53480.94
2025-05-29,54646.89
2025-05-30,53987.28
2025-05-31,54455.75
2025-06-01,54918.1
2025-06-02,55144.48
2025-06-03,54632.53
2025-06-04,54610.98
2025-06-05,54501.54
2025-06-06,54851.98
2025-06-07,54691.57
2025-06-08,55269.64
2025-06-09,55106.83
2025-06-10,55731.03
2025-06-11,55190.9
2025-06-12,54539.56
2025-06-13,56350.84
2025-06-14,56161.02
2025-06-15,56373.44
2025-06-16,56777.39
2025-06-17,56548.13
2025-06-18,56885.65
2025-06-19,57141.04
2025-06-20,57063.69
2025-06-21,57146.6
2025-06-22,57172.85
2025-06-23,58435.48
2025-06-24,58049.03
2025-06-25,57459.25
2025-06-26,57526.93
2025-06-27,57751.56
2025-06-28,58049.86
2025-06-29,57830.22
2025-06-30,57261.56
2025-07-01,58030.69
2025-07-02,57874.21
2025-07-03,57419.6
2025-07-04,57329.87
2025-07-05,57262.69
2025-07-06,57944.07
2025-07-07,58039.52
2025-07-08,58523.61
2025-07-09,58278.22
2025-07-10,58449.82
2025-07-11,58306.8
2025-07-12,58408.59
2025-07-13,57932.35
2025-07-14,57219.32
2025-07-15,58407.89
2025-07-16,58805.47
2025-07-17,58116.7
2025-07-18,57808.01
2025-07-19,57168.95
2025-07-20,58471.72
2025-07-21,59285.89
2025-07-22,59176.13
2025-07-23,59544.91
2025-07-24,59345.83
2025-07-25,59110.67
2025-07-26,58691.81
2025-07-27,58389.77
2025-07-28,59400.44
2025-07-29,59415.87
2025-07-30,59534.25
2025-07-31,59726.96
2025-08-01,60510.86
2025-08-02,60247
2025-08-03,59697.24
2025-08-04,60745.34
2025-08-05,60525.95
2025-08-06,60136.73
2025-08-07,59441.38
2025-08-08,58725.28
2025-08-09,58435.2
2025-08-10,58843.07
2025-08-11,59543.21
2025-08-12,60012.16
2025-08-13,59841.94
2025-08-14,59925.56
2025-08-15,59551.27
2025-08-16,59171.8
